iter	Passed	Remaining
584	112871	43026
585	112930	42782
586	112944	42522
587	112957	42263
588	113226	42099
589	113238	41840
590	113487	41669
591	113543	41427
592	113652	41206
593	113757	40983
594	113817	40744
595	114067	40574
596	114317	40403
597	114339	40152
598	114359	39901
599	114468	39682
600	114710	39509
601	114744	39264
602	114798	39027
603	115053	38859
604	115067	38609
605	115308	38436
606	115531	38256
607	115754	38077
608	115989	37901
609	116102	37685
610	116348	37513
611	116580	37336
612	116814	37159
613	116835	36915
614	117074	36740
615	117335	36571
616	117396	36341
617	117432	36103
618	117671	35928
619	117776	35712
620	117796	35471
621	118042	35298
622	118074	35062
623	118296	34882
624	118356	34654
625	118390	34420
626	118634	34246
627	118867	34070
628	119112	33896
629	119127	33658
630	119369	33484
631	119390	33247
632	119629	33072
633	119661	32840
634	119697	32610
635	119944	32437
636	120009	32216
637	120029	31982
638	120276	31810
639	120544	31642
640	120804	31473
641	120821	31240
642	120848	31010
643	121145	30850
644	121287	30651
645	121525	30475
646	121550	30246
647	121796	30073
648	122020	29893
649	122275	29722
650	122392	29517
651	122618	29338
652	122631	29108
653	122868	28932
654	123115	28758
655	123177	28541
656	123460	28375
657	123587	28173
658	123841	28000
659	124102	27828
660	124364	27657
661	124617	27483
662	124653	27262
663	124691	27041
664	124755	26827
665	125012	26654
666	125142	26454
667	125203	26240
668	125480	26071
669	125555	25860
670	125820	25689
671	125885	25476
672	126008	25276
673	126045	25059
674	126112	24848
675	126379	24677
676	126484	24474
677	126803	24313
678	127145	24155
679	127176	23939
680	127521	23781
681	127856	23621
682	128151	23453
683	128474	23290
684	128771	23122
685	129128	22964
686	129163	22749
687	129209	22536
688	129537	22372
689	129683	22177
690	129955	22003
691	130249	21833
692	130522	21659
693	130811	21487
694	131100	21315
695	131353	21137
696	131640	20964
697	131916	20789
698	132179	20611
699	132462	20437
700	132485	20222
701	132520	20010
702	132557	19798
703	132580	19585
704	132830	19406
705	132869	19196
706	133131	19018
707	133371	18837
708	133383	18624
709	133642	18446
710	133906	18268
711	134156	18088
712	134286	17892
713	134351	17687
714	134597	17507
715	134868	17329
716	134930	17125
717	134965	16917
718	135040	16715
719	135139	16517
720	135429	16341
721	135682	16161
722	135929	15980
723	135956	15773
724	135994	15569
725	136029	15364
726	136271	15182
727	136308	14979
728	136557	14798
729	136817	14618
730	137067	14438
731	137336	14258
732	137348	14053
733	137369	13849
734	137484	13654
735	137506	13451
736	137566	13252
737	137824	13072
738	138082	12892
739	138350	12713
740	138604	12532
741	138863	12351
742	139100	12168
743	139211	11975
744	139469	11794
745	139728	11612
746	139993	11431
747	140263	11251
748	140275	11049
749	140542	10868
750	140804	10686
751	141061	10504
752	141327	10322
753	141387	10125
754	141651	9943
755	141914	9761
756	142164	9577
757	142232	9382
758	142365	9190
759	142618	9007
760	142658	8810
761	142893	8626
762	143148	8442
763	143400	8258
764	143631	8073
765	143882	7889
766	144148	7705
767	144399	7520
768	144633	7335
769	144670	7139
770	144786	6948
771	144851	6754
772	145126	6571
773	145392	6386
774	145626	6200
775	145890	6016
776	146141	5830
777	146382	5644
778	146621	5458
779	146657	5264
780	146894	5078
781	147189	4893
782	147213	4700
783	147344	4510
784	147579	4323
785	147641	4132
786	147677	3940
787	147932	3754
788	148167	3568
789	148288	3378
790	148524	3192
791	148773	3005
792	148840	2815
793	149100	2628
794	149218	2440
795	149460	2253
796	149717	2066
797	149753	1876
798	150012	1689
799	150274	1502
800	150534	1315
801	150657	1127
802	150897	939
803	151011	751
804	151266	563
805	151508	375
806	151773	188
807	152030	0
